Low,Bal,Wind,Solar
40.55389384,51.09,51.95861301,52.716879
38.79389384,49.5,49.40861301,52.056879
38.16389384,46.67,46.41861301,50.466879
37.63389384,45.6,43.58861301,49.076879
37.94389384,46.67,44.58861301,51.046879
40.49389384,51.26,51.56861301,52.846879
50.08389384,59.11,57.77861301,62.356879
50.67389384,56.5,58.32861301,58.886879
50.27389384,51.96,53.72861301,52.656879
48.09389384,48.37,51.13861301,47.726879
48.09389384,49.06,51.43861301,48.576879
45.41389384,49.06,50.35861301,44.696879
44.24389384,49.06,50.35861301,41.526879
43.73389384,49.06,50.79861301,44.766879
42.33389384,48.61,50.28861301,46.246879
45.43389384,51.62,53.07861301,52.036879
49.54389384,57.23,58.22861301,59.196879
51.40389384,60.61,61.39861301,61.956879
52.20389384,60.37,61.09861301,61.396879
52.06389384,59.7,59.38861301,61.696879
49.92389384,61.79,61.39861301,63.076879
45.03389384,58.26,58.16861301,59.836879
42.19389384,51.98,53.65861301,53.756879
40.05389384,48.42,47.96861301,51.766879
43.37389384,48.01,47.96861301,51.276879
40.17389384,50.14,50.09861301,51.436879
39.32389384,46.82,43.60861301,49.986879
39.02389384,46.67,43.23861301,49.706879
39.66389384,46.67,43.23861301,50.946879
44.04389384,51.06,49.70861301,52.266879
46.55389384,55.18,54.99861301,56.356879
49.81389384,55.86,56.11861301,59.006879
46.84389384,51.09,53.03861301,51.566879
43.54389384,47.02,50.79861301,46.246879
42.30389384,44.01,48.38861301,42.906879
41.09389384,42.75,44.86861301,35.646879
40.04389384,39.54,43.52861301,24.736879
40.77389384,46.67,48.31861301,40.656879
41.38389384,49.57,51.43861301,49.566879
41.75389384,50.03,51.71861301,50.916879
49.19389384,56.46,56.11861301,62.306879
51.40389384,62.18,60.44861301,60.976879
51.80389384,62.18,62.34861301,63.086879
50.70389384,62.18,62.41861301,63.086879
49.91389384,61.17,62.07861301,63.086879
48.91389384,56.62,58.20861301,60.186879
46.92389384,53.56,54.38861301,54.626879
40.13389384,51.09,48.11861301,53.606879
46.55389384,50.12,44.10861301,51.996879
47.07389384,47.3,42.53861301,55.726879
43.51389384,45.38,44.65861301,54.026879
42.19389384,42.31,39.43861301,51.766879
46.40389384,41.77,38.50861301,51.976879
49.19389384,50.31,43.02861301,53.946879
49.19389384,54.83,54.57861301,60.706879
49.81389384,54.49,52.15861301,56.356879
47.03389384,52.65,54.15861301,48.806879
43.73389384,46.6,49.68861301,38.086879
42.13389384,38.79,44.85861301,31.886879
42.19389384,40.32,49.28861301,31.886879
41.71389384,40.57,49.83861301,31.886879
42.40389384,43.29,52.44861301,31.886879
41.24389384,47.06,52.38861301,38.136879
43.51389384,52.93,54.41861301,51.246879
49.23389384,61.51,60.60861301,62.416879
50.69389384,54.81,54.20861301,59.456879
52.86389384,54.25,54.30861301,60.476879
51.40389384,54.6,53.10861301,58.846879
50.51389384,59.75,57.57861301,61.636879
49.54389384,57.65,57.79861301,60.416879
47.94389384,53.12,54.48861301,55.966879
41.15389384,49.8,51.05861301,52.716879
45.24389384,46.82,43.06861301,51.046879
43.28389384,48.52,43.37861301,55.716879
40.57389384,45.66,39.29861301,52.836879
