Bal,Low Vre,Solar,Wind
36.13,28.7038984,36.77934247,33.79414155
32.72,20.7738984,32.71934247,30.70414155
32.36,19.6938984,32.33934247,31.28414155
32.74,19.7138984,32.63934247,32.26414155
33.71,20.3638984,33.32934247,33.05414155
36.01,23.6238984,35.81934247,35.41414155
43.72,32.2338984,43.65934247,42.48414155
47.08,37.0138984,46.60934247,45.56414155
42.83,35.2638984,42.87934247,43.80414155
40.03,34.6638984,39.13934247,40.34414155
41.43,34.2438984,40.58934247,42.27414155
40.95,32.7738984,40.11934247,41.80414155
39.95,30.3938984,38.64934247,41.54414155
39.79,29.9738984,37.63934247,42.21414155
38.68,28.6738984,36.33934247,39.00414155
38.94,27.9538984,36.81934247,38.71414155
41.71,28.9538984,41.32934247,41.18414155
44.3,31.8338984,44.19934247,43.40414155
45.04,35.3138984,45.22934247,44.11414155
44.92,35.1638984,44.51934247,43.63414155
42.7,33.5438984,42.61934247,40.94414155
40.35,30.8338984,40.68934247,39.05414155
33.19,23.7538984,33.54934247,31.43414155
30.76,20.6738984,31.18934247,26.91414155
29,19.0838984,29.37934247,27.13414155
28.26,18.8138984,28.84934247,24.48414155
26.28,18.3938984,27.36934247,24.62414155
27.02,18.2438984,27.63934247,25.89414155
27.91,19.3938984,28.75934247,26.70414155
33.85,21.5038984,34.24934247,33.19414155
42.29,29.3738984,42.06934247,41.64414155
38.9,34.2438984,39.88934247,36.79414155
33.83,34.2638984,30.21934247,31.42414155
17.58,32.8638984,17.14934247,23.11414155
18.25,31.1138984,9.219342466,23.14414155
16.93,30.1038984,5.109342466,22.59414155
23.4,29.9738984,9.209342466,38.35414155
32.41,29.6838984,9.519342466,39.65414155
33.97,29.5538984,24.25934247,39.76414155
39.96,29.1938984,36.41934247,39.88414155
42.92,30.1938984,42.77934247,42.50414155
45.02,33.9138984,44.72934247,44.25414155
45.28,35.9838984,45.07934247,44.54414155
44.68,35.1038984,44.71934247,43.88414155
42.82,33.0838984,42.72934247,41.47414155
40.45,30.1738984,41.11934247,39.71414155
35.5,24.4438984,35.84934247,33.41414155
33.22,21.5138984,34.33934247,30.65414155
19.4,19.3138984,27.67934247,15.54414155
16.63,18.3938984,29.36934247,15.02414155
24.39,18.3938984,28.98934247,14.28414155
28.71,18.6138984,29.07934247,14.19414155
28.23,18.4238984,29.25934247,22.59414155
29.91,20.7938984,30.64934247,29.22414155
39.91,29.4038984,39.74934247,36.77414155
44.53,34.3438984,44.49934247,41.77414155
38.45,33.2238984,39.63934247,38.33414155
32.38,31.8138984,30.21934247,37.32414155
33.64,30.6938984,32.75934247,36.95414155
34.09,30.2838984,33.57934247,38.04414155
33.74,29.9738984,32.63934247,37.36414155
32.29,28.9838984,31.10934247,35.05414155
32.6,29.1538984,31.10934247,35.18414155
34.59,28.6338984,34.18934247,37.28414155
40.72,29.6138984,40.60934247,38.82414155
42.03,32.3138984,43.96934247,40.88414155
42.58,34.4638984,42.82934247,40.01414155
40.24,33.0538984,41.04934247,34.35414155
40.13,31.5438984,40.48934247,25.34414155
38.24,29.5738984,38.48934247,25.61414155
23.42,23.0638984,32.36934247,20.37414155
18.3,20.2738984,28.86934247,18.68414155
16.61,18.6138984,24.71934247,16.96414155
14.77,18.2138984,19.32934247,14.46414155
15.66,18.8138984,17.90934247,15.30414155
